Date,Open,High,Low,Close,Adj Close,Volume
2023-06-28,18.299999237060547,19.989999771118164,15.0,15.34000015258789,15.34000015258789,2821400
2023-06-29,14.050000190734863,15.84000015258789,14.050000190734863,14.90999984741211,14.90999984741211,705400
2023-06-30,14.90999984741211,16.989999771118164,14.75,16.989999771118164,16.989999771118164,578900
2023-07-03,17.010000228881836,17.799999237060547,16.270000457763672,17.350000381469727,17.350000381469727,581300
2023-07-05,17.170000076293945,17.399999618530273,16.5,16.5,16.5,214400
2023-07-06,16.219999313354492,16.75,14.8100004196167,14.8100004196167,14.8100004196167,159000
2023-07-07,14.760000228881836,16.239999771118164,14.729999542236328,16.0,16.0,129900
2023-07-10,15.869999885559082,16.469999313354492,15.039999961853027,15.039999961853027,15.039999961853027,183600
2023-07-11,15.4399995803833,16.200000762939453,15.170000076293945,16.170000076293945,16.170000076293945,81800
2023-07-12,16.559999465942383,16.75,15.90999984741211,16.489999771118164,16.489999771118164,203600
2023-07-13,16.489999771118164,16.600000381469727,15.670000076293945,15.850000381469727,15.850000381469727,94300
2023-07-14,15.9399995803833,16.399999618530273,15.710000038146973,16.200000762939453,16.200000762939453,79400
2023-07-17,16.34000015258789,16.479999542236328,16.02400016784668,16.25,16.25,47100
2023-07-18,16.270000457763672,18.280000686645508,16.270000457763672,17.290000915527344,17.290000915527344,700900
2023-07-19,17.350000381469727,19.0,16.93000030517578,18.920000076293945,18.920000076293945,851100
2023-07-20,18.90999984741211,19.700000762939453,18.270000457763672,18.8799991607666,18.8799991607666,303400
2023-07-21,19.389999389648438,19.389999389648438,16.5,17.170000076293945,17.170000076293945,178300
2023-07-24,17.760000228881836,18.739999771118164,17.530000686645508,18.59000015258789,18.59000015258789,112000
2023-07-25,18.989999771118164,18.989999771118164,17.950000762939453,18.40999984741211,18.40999984741211,104100
2023-07-26,18.649999618530273,19.450000762939453,18.305999755859375,19.170000076293945,19.170000076293945,187200
2023-07-27,19.43000030517578,19.549999237060547,17.549999237060547,17.989999771118164,17.989999771118164,101600
2023-07-28,18.190000534057617,19.389999389648438,18.0,19.209999084472656,19.209999084472656,149100
